Title,Artist,Lyrics
Love The Way You Lie,Eminem feat. Rihanna,"Just gonna stand there and watch me burn?
Well, that's alright because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's alright because I love the way you lie
I love the way you lie

I can't tell you what it really is
I can only tell you what it feels like
And right now, there's a steel knife in my windpipe
I can't breathe, but I still fight while I can fight
As long as the wrong feels right, it's like I'm in flight
High off of love, drunk from my hate
It's like I'm huffing paint, and I love her the more I suffer, I suffocate
And right before I'm about to drown, she resuscitates me
She fuckin' hates me, and I love it

""Wait! Where you going?"" ""I'm leaving you""
""No, you ain't, come back""
We're running right back, here we go again
It's so insane 'cause when it's going good, it's going great
I'm Superman with the wind at his back, she's Lois Lane
But when it's bad, it's awful
I feel so ashamed, I snapped, ""Who's that dude?""
I don't even know his name
I laid hands on her, I'll never stoop so low again
I guess I don't know my own strength

Just gonna stand there and watch me burn?
Well, that's alright because I like the way it hurts
..."
Godzilla (feat. Juice WRLD),Eminem feat. Juice WRLD,"(Ugh, you're a monster)

I can swallow a bottle of alcohol and I'll feel like Godzilla
Better hit the deck like the card dealer
My whole squad's in here, walkin' around the party
A cross between a zombie apocalypse and B-Bobby, ""The
Brain"" Heenan which is probably the same reason I wrestle with mania
Shady's in this bitch, I'm posse'd up
Consider it to cross me a costly mistake
If they sleepin' on me, the hoes better get insomnia, ADHD, Hydroxycut
Pass the Courvoisi' (hey, hey)

In AA, with an AK, melee, finna set it like a play date
Better vacate, retreat like a vacay, mayday (ayy)
This beat is cray-cray, Ray J, H-A-H-A-H-A
Laughin' all the way to the bank, I spray flames
They cannot tame or placate the (ayy)

Monster
You get in my way? I'ma feed you to the monster (yeah)
I'm normal during the day, but at night turn to a monster (yeah)
When the moon shines like Ice Road Truckers
I look like a villain outta those blockbusters
(Godzilla, fire-spitter) monster
Blood on the dance floor, and on the Louis V carpet
(Fire, Godzilla, fire) monster
Blood on the dance floor, and on the Louis V carpet

I'm just a product of Slick Rick, at Onyx, told 'em lick the balls
Had 'em just appalled at so many things that pissed 'em off
It's impossible to list 'em all
And in the midst of all this
I'm in a mental hospital with a crystal ball
Tryna see, will I still be like this tomorrow?
Risperdal, voices whisper

My fist is balled back up against the wall, pencil drawn
This is just the song to go ballistic on
You just pulled a pistol on the guy with the missile launcher
I'm just a Loch Ness, the mythological
..."
The Monster,Eminem feat. Rihanna,"I'm friends with the monster that's under my bed
Get along with the voices inside of my head
You're trying to save me, stop holding your breath
And you think I'm crazy, yeah, you think I'm crazy

I wanted the fame, but not the cover of Newsweek
Oh well, guess beggars can't be choosey
Wanted to receive attention for my music
Wanted to be left alone in public, excuse me
Been wanting my cake and eat it too, and wanting it both ways
Fame made me a balloon 'cause my ego inflated
When I blew, see, but it was confusing
'Cause all I wanted to do is be the Bruce Lee of loose leaf

Abused ink, used it as a tool when I blew steam
Ooh, hit the lottery, ooh-wee
But with what I gave up to get was bittersweet
It was like winning a used mink
Ironic 'cause I think I'm getting so huge I need a shrink
I'm beginning to lose sleep, one sheep, two sheep
Going cuckoo and kooky as Kool Keith
But I'm actually weirder than you think, 'cause I'm

I'm friends with the monster that's under my bed
Get along with the voices inside of my head
You're trying to save me, stop holding your breath
And you think I'm crazy, yeah, you think I'm crazy
Well, that's nothing

..."
Not Afraid,Eminem,"Yeah, It's been a ride...
I guess I had to go to that place to get to this one
Now some of you might still be in that place
If you're trying to get out, just follow me
I'll get you there

You can try and read my lyrics off of this paper before I lay 'em
But you won't take this thing out these words before I say 'em
Cause ain't no way I'm let you stop me from causing mayhem
When I say 'em or do something I do it, I don't give a damn
What you think, I'm doing this for me, so fuck the world
Feed it beans, it's gassed up, if a thing's stopping me
I'mma be what I set out to be, without a doubt undoubtedly
And all those who look down on me I'm tearing down your balcony
No if ands or buts don't try to ask him why or how can he
From Infinite down to the last Relapse album he's still shit'n
Whether he's on salary, paid hourly
Until he bows out or he shit's his bowels out of him
Whichever comes first, for better or worse
He's married to the game, like a fuck you for Christmas
His gift is a curse, forget the earth he's got the urge
To pull his dick from the dirt and fuck the whole universe

I'm not afraid to take a stand
Everybody come take my hand
We'll walk this road together, through the storm
Whatever weather, cold or warm
Just let you know that, you're not alone
Holla if you feel that you've been down the same road
..."
Venom (Music From The Motion Picture),Eminem,"I got a song filled with shit for the strong-willed
When the world gives you a raw deal
Sets you off 'til you scream, ""Piss off! Screw you!""
When it talks to you like you don't belong
Or tells you you're in the wrong field
When something's in your mitochondrial
'Cause it latched on to you, like-

Knock knock, let the devil in
Manevolent as I've ever been, head is spinnin'
This medicine's screamin', ""L-L-L-Let us in!""
L-L-L-Like a salad bowl, Edgar Allan Poe
Bedridden, shoulda been dead a long time ago
Liquid Tylenol, gelatins, think my skeleton's meltin'
Wicked, I get all high when I think I've smelled the scent
Of elephant manure, hell, I meant Kahlúa
Screw it, to hell with it, I went through hell with accelerants
And blew up my-my-myself again

Volkswagen, tailspin, bucket matches my pale skin
Mayo and went from Hellmann's and being rail thin
Filet-o-Fish, Scribble Jam, Rap Olympics '97 Freaknik
How can I be down? Me and Bizarre in Florida
Proof's room slept on the floor of 'da motel then
Dr. Dre said, ""Hell yeah!""
And I got his stamp like a postcard, word to Mel-Man

And I know they're gonna hate
But I don't care, I barely can wait
To hit 'em with the snare and the bass
Square in the face, this fuckin' world better prepare to get laced
Because they're gonna taste my-

Venom, (I got that) adrenaline momentum
And I'm not knowin' when I'm
Ever gonna slow up and I'm
Ready to snap any moment I'm
Thinkin' it's time to go get 'em
They ain't gonna know what hit 'em
(W-W-When they get bit with the-)

Venom, (I got that) adrenaline momentum
And I'm not knowin' when I'm
Ever gonna slow up and I'm
Ready to snap any moment I'm
..."
Rap God,Eminem,"Look, I was gonna go easy on you not to hurt your feelings
But I'm only going to get this one chance (six minutes-, six minutes-)
Something's wrong, I can feel it (six minutes, Slim Shady, you're on!)
Just a feeling I've got, like something's about to happen, but I don't know what
If that means what I think it means, we're in trouble, big trouble
And if he is as bananas as you say, I'm not taking any chances
You are just what the doc ordered

I'm beginnin' to feel like a Rap God, Rap God
All my people from the front to the back nod, back nod
Now, who thinks their arms are long enough to slap box, slap box?
They said I rap like a robot, so call me Rap-bot

But for me to rap like a computer, it must be in my genes
I got a laptop in my back pocket
My pen'll go off when I half-cock it
Got a fat knot from that rap profit
Made a livin' and a killin' off it
Ever since Bill Clinton was still in office
With Monica Lewinsky feelin' on his nutsack
I'm an MC still as honest
But as rude and as indecent as all hell
Syllables, skill-a-holic (kill 'em all with)

This flippity dippity-hippity hip-hop
You don't really wanna get into a pissin' match
With this rappity brat, packin' a MAC in the back of the Ac'
Backpack rap crap, yap-yap, yackety-yack
And at the exact same time, I attempt these lyrical acrobat stunts while I'm practicin' that
I'll still be able to break a motherfuckin' table
Over the back of a couple of faggots and crack it in half

Only realized it was ironic, I was signed to Aftermath after the fact
How could I not blow? All I do is drop F-bombs
Feel my wrath of attack
Rappers are havin' a rough time period, here's a maxi pad
It's actually disastrously bad for the wack
While I'm masterfully constructing this masterpièce

'Cause I'm beginnin' to feel like a Rap God, Rap God
All my people from the front to the back nod, back nod
Now, who thinks their arms are long enough to slap box, slap box?
Let me show you maintainin' this shit ain't that hard, that hard
Everybody want the key and the secret to rap immortality like Ι have got

Well, to be truthful the blueprint's
Simply rage and youthful exuberance
Everybody loves to root for a nuisance
Hit the Earth like an asteroid
Did nothing but shoot for the Moon since (pew!)
MCs get taken to school with this music
'Cause I use it as a vehicle to ""Bus the rhyme""
Now I lead a new school full of students

Me? I'm a product of Rakim
Lakim Shabazz, 2Pac, N.W.A, Cube, hey Doc, Ren
Yella, Eazy, thank you, they got Slim
Inspired enough to one day grow up, blow up and be in a position
To meet Run-D.M.C., induct them
Into the motherfuckin' Rock and Roll Hall of Fame

Even though I'll walk in the church and burst in a ball of flames
Only Hall of Fame I'll be inducted in is the alcohol of fame
..."
Killshot,Eminem,"You sound like a bitch, bitch
Shut the fuck up!
When your fans become your haters
You done?
Fuckin' beard's weird
Alright
You yellin' at the mic, fuckin' weird beard
We doin' this once (you yellin' at the mic, your beard's weird)
Why you yell at the mic? (Illa)

Rihanna just hit me on a text
Last night I left hickeys on her neck
Wait, you just dissed me? I'm perplexed
Insult me in a line, compliment me on the next
Damn, I'm really sorry you want me to have a heart attack
Was watchin' 8 Mile on my NordicTrack
Realized I forgot to call you back
Here's that autograph for your daughter
I wrote it on a Starter cap

Stan, Stan, son
Listen, man, Dad isn't mad
But how you gonna name yourself
After a damn gun and have a man-bun?
The giant's woke, eyes open, undeniable
Supplyin' smoke, got the fire stoked
Say you got me in a scope, but you grazed me
I say one call to Interscope and you're Swayze
Your reply got the crowd yelling, woo!
So before you die let's see who can out-petty who
With your corny lines (""Slim, you're old""), ow, Kelly, ooh
But I'm 45 and I'm still outselling you

By 29, I had three albums that had blew
Now let's talk about somethin' I don't really do
Go in someone's daughter's mouth stealin' food
But you're a fuckin' mole hill
Now I'ma make a mountain out of you, woo!

Hoe, chill, actin' like you put the chrome barrel to my bone marrow
Gunner? Bitch, you ain't a bow and arrow
Say you'll run up on me like a phone bill, sprayin' lead (brrt)
Playin' dead, that's the only time you hold still (hold up)
Are you eating cereal or oatmeal?

What the fuck's in the bowl, milk? Wheaties or Cheerios?
'Cause I'm takin' a shit in 'em, Kelly, I need reading material
..."
Forever,"Drake feat. Kanye West, Lil Wayne & Eminem","It may not mean nothin' to y'all
But understand, nothin' was done for me
So I don't plan on stoppin' at all
I want this shit forever mane, ever mane, ever mane

I shuttin' shit down in the mall
And tellin' every girl she the one for me
And I ain't even plannin' to call
I want this shit forever mane, ever mane, ever mane

Last name ever, first name greatest
Like a sprained ankle, boy I ain't nothin' to play with
Started off local, but thanks to all the haters
I know G4 pilots on a first name basis

In your city faded off the brown, Nino
She insists she got more class, we know
Swimmin' in the money, come and find me, Nemo
If I was at the club you know I ball, chemo

Drop the mixtape, that shit sounded like a album
Who'd have thought a countrywide tour would be the outcome?
Labels want my name beside the X like Malcolm
Everybody got a deal, I did it without one

Yeah nigga, I'm about my business
Killin' all these rappers, you would swear I had a hit list
Everyone who doubted me is askin' for forgiveness
If you ain't been a part of it, at least you got to witness
Bitches

It may not mean nothin' to y'all
But understand nothin' was done for me
So I don't plan on stoppin' at all
I want this shit forever mane, ever mane, ever mane

I shuttin' shit down in the mall
And tellin' every girl she the one for me
And I ain't even plannin' to call
I want this shit forever mane, ever mane, ever mane

Hey, ever-ever, Mr. West is in the buildin'
Ain't no question who about to kill 'em

I used to have hood dreams, big fame, big chains
I stuck my dick inside this life until that bitch came
I went hard all fall like the ball teams
Just so I can make it rain all spring

Y'all seen my story, my glory
I had raped the game young, you can call it statutory
..."
Space Bound,Eminem,"We touch, I feel a rush, we clutch, it isn't much
But it's enough to make me wonder what's in store for us
It's lust, it's torturous, you must be a sorceress
'Cause you just did the impossible, gained my trust
Don't play games, it'd be dangerous if you fuck me over
'Cause if I get burnt, I'ma show ya what it's like to hurt
'Cause I've been treated like dirt befo' ya
And love is evol, spell it backwards, I'll show ya
Nobody knows me, I'm cold, walk down this road all alone
It's no one's fault but my own, it's the path I've chosen to go
Frozen as snow, I show no emotion whatsoever, so
Don't ask me why I have no love for these mo'fuckin' ho's
Blood suckin' succubuses, what the fuck is up with this?
I've tried in this department, but I ain't had no luck with this
It sucks, but it's exactly what I thought it would be
Like tryin' to start over
I've got a hole in my heart for some kind of emotional roller coaster
Somethin' I won't go on, so you toy with my emotions, ho, it's over
It's like an explosion every time I hold ya, I wasn't jokin' when I told ya
You take my breath away, you're a supernova and I'm a

I'm a space bound rocket ship and your heart's the moon
And I'm aimin' right at you, right at you

250, 000 miles on a clear night in June
..."
Love The Way You Lie (Part II) - Pt. 2,Rihanna feat. Eminem,"On the first page of our story
The future seemed so bright
Then this thing turned out so evil
I don't know why I'm still surprised

Even angels have their wicked schemes
And you take that to new extremes
But you'll always be my hero
Even though you've lost your mind

Just gonna stand there and watch me burn
Well, that's alright because I like the way it hurts
Just gonna stand there and hear me cry
Well, that's alright because I love the way you lie

I love the way you lie, oh
I love the way you lie

Now there's gravel in our voices
Glass is shattered from the fight
In this tug of war, you'll always win
Even when I'm right

'Cause you feed me fables from your hand
With violent words and empty threats
..."
